"","study","diff","std.err","treatment","n"
"1","Canuso, 2018",NA,0.596513532038232,"Placebo",31
"2","Canuso, 2018",-3.4,0.597513532038232,"Esket_High",35
"3","Domany, 2019",NA,0.909784941740288,"Placebo",18
"4","Domany, 2019",-10.26,0.910784941740288,"Ket_Low",22
"5","Fedgchin, 2019",NA,0.180384117648596,"Placebo",113
"6","Fedgchin, 2019",-2.8,0.186914522179741,"Esket_High",114
"7","Fedgchin, 2019",-3.9,0.181384117648596,"Esket_Low",115
"8","Fu, 2020",NA,0.158065450686316,"Placebo",112
"9","Fu, 2020",-4.9,0.159065450686316,"Esket_High",112
"10","G<e1>lvez, 2018",NA,6.67335528860417,"Placebo",2
"11","G<e1>lvez, 2018",9.5,6.67435528860417,"Ket_High",3
"12","Ionescu, 2021",NA,0.161408549494172,"Placebo",113
"13","Ionescu, 2021",-2.2,0.162408549494172,"Esket_High",114
"14","Loo C1, 2022",NA,0.453627831264143,"Placebo",35
"15","Loo C1, 2022",0.0800000000000001,0.454627831264143,"Ket_Low",33
"16","Loo C2, 2022",NA,0.28316522552997,"Placebo",53
"17","Loo C2, 2022",-3.95,0.28416522552997,"Ket_High",53
"18","Ochs-Ross, 2020",NA,0.267943357432254,"Placebo",64
"19","Ochs-Ross, 2020",-3.6,0.268943357432254,"Esket_High",71
"20","Popova, 2019",NA,0.174996738905579,"Placebo",109
"21","Popova, 2019",-3.3,0.175996738905579,"Esket_High",112
"22","Singh x2, 2016",NA,0.996584853595652,"Placebo",16
"23","Singh x2, 2016",-12.7,0.997584853595652,"Ket_High",18
"24","Singh x3, 2016",NA,0.735473849021242,"Placebo",16
"25","Singh x3, 2016",-14.6,0.736473849021242,"Ket_High",17
"26","Takahashi, 2021",NA,0.231440694189188,"Placebo",79
"27","Takahashi, 2021",-0.59,0.232440694189188,"Esket_Low",80
"28","Takahashi, 2021",-0.4,0.317121387441341,"Esket_High",41
